bin_no,date,timestamp
bin1,3/28/2024,10:53:08
bin1,3/28/2024,17:16:39
bin1,3/29/2024,8:44:19
bin1,3/29/2024,11:32:36
bin1,3/29/2024,14:28:14
bin1,3/29/2024,17:47:31
bin1,3/30/2024,7:38:57
bin1,3/30/2024,11:50:53
bin1,3/30/2024,17:11:35
bin1,3/31/2024,9:02:13
bin1,3/31/2024,12:32:02
bin1,3/31/2024,14:29:32
bin1,3/31/2024,17:45:07
bin1,4/1/2024,9:11:23
bin1,4/1/2024,13:27:46
bin1,4/2/2024,8:39:25
bin1,4/2/2024,11:55:22
bin1,4/2/2024,14:46:10
bin1,4/3/2024,7:10:30
bin1,4/3/2024,11:20:45
bin1,4/3/2024,14:39:14
bin1,4/3/2024,18:09:53
bin1,4/4/2024,7:45:22
bin1,4/4/2024,12:32:49
bin1,4/4/2024,14:38:28
bin1,4/4/2024,17:48:58
bin1,4/5/2024,9:13:04
bin1,4/5/2024,11:24:57
bin1,4/5/2024,14:56:08
bin1,4/5/2024,18:27:30
bin1,4/6/2024,7:29:43
bin1,4/6/2024,11:52:34
bin1,4/6/2024,14:22:45
bin1,4/6/2024,17:28:16
bin1,4/7/2024,9:01:19
bin1,4/7/2024,12:36:27
bin1,4/7/2024,15:01:57
bin1,4/7/2024,17:52:12
bin1,4/8/2024,8:57:49
bin1,4/8/2024,11:32:58
bin1,4/8/2024,14:24:43
bin1,4/8/2024,17:42:15
bin1,4/9/2024,8:19:05
bin1,4/9/2024,12:42:34
bin1,4/9/2024,14:33:07
bin1,4/9/2024,17:55:42
bin1,4/10/2024,8:18:32
bin1,4/10/2024,12:38:55
bin1,4/10/2024,14:23:18
bin1,4/10/2024,18:08:36
bin1,4/11/2024,9:07:59
bin1,4/11/2024,11:47:23
bin1,4/11/2024,15:12:31
bin1,4/11/2024,17:28:40
bin2,3/28/2024,7:51:42
bin2,3/28/2024,12:58:19
bin2,3/28/2024,16:24:05
bin2,3/29/2024,7:15:34
bin2,3/29/2024,12:45:21
bin2,3/29/2024,16:53:37
bin2,3/29/2024,18:29:08
bin2,3/30/2024,8:47:22
bin2,3/30/2024,12:35:14
bin2,3/30/2024,15:44:30
bin2,3/30/2024,18:05:40
bin2,3/31/2024,7:53:29
bin2,3/31/2024,12:28:14
bin2,3/31/2024,14:51:07
bin2,3/31/2024,17:27:18
bin2,4/1/2024,8:22:50
bin2,4/1/2024,11:55:37
bin2,4/1/2024,15:21:45
bin2,4/1/2024,17:49:56
bin2,4/2/2024,9:28:40
bin2,4/2/2024,13:15:02
bin2,4/2/2024,15:40:49
bin2,4/2/2024,17:59:30
bin2,4/3/2024,7:38:26
bin2,4/3/2024,12:22:14
bin2,4/3/2024,15:47:23
bin2,4/3/2024,17:38:59
bin2,4/4/2024,9:06:17
bin2,4/4/2024,13:17:53
bin2,4/4/2024,15:45:27
bin2,4/4/2024,17:21:59
bin2,4/5/2024,7:49:08
bin2,4/5/2024,12:34:29
bin2,4/5/2024,15:01:06
bin2,4/5/2024,18:33:41
bin2,4/6/2024,9:18:27
bin2,4/6/2024,13:25:38
bin2,4/6/2024,15:56:22
bin2,4/6/2024,17:31:47
bin2,4/7/2024,8:22:14
bin2,4/7/2024,12:49:53
bin2,4/7/2024,15:28:17
bin2,4/7/2024,17:54:02
bin2,4/8/2024,9:33:28
bin2,4/8/2024,12:45:12
bin2,4/8/2024,15:16:29
bin2,4/8/2024,18:05:41
bin2,4/9/2024,7:58:45
bin2,4/9/2024,12:33:21
bin2,4/9/2024,14:54:03
bin2,4/9/2024,17:49:27
bin2,4/10/2024,8:24:14
bin2,4/10/2024,11:59:43
bin2,4/10/2024,15:20:06
bin2,4/10/2024,17:59:41
bin2,4/11/2024,7:39:52
bin2,4/11/2024,12:52:13
bin2,4/11/2024,15:16:22
bin2,4/11/2024,17:23:44
bin3,3/31/2024,9:09:35
bin3,3/31/2024,13:22:18
bin3,3/31/2024,15:41:07
bin3,3/31/2024,17:54:58
bin3,4/1/2024,7:43:04
bin3,4/1/2024,12:47:39
bin3,4/1/2024,14:26:22
bin3,4/1/2024,17:30:58
bin3,4/2/2024,9:36:19
bin3,4/2/2024,12:47:45
bin3,4/2/2024,15:27:18
bin3,4/2/2024,18:18:06
bin3,4/3/2024,7:52:36
bin3,4/3/2024,12:36:22
bin3,4/3/2024,14:57:19
bin3,4/3/2024,18:09:38
bin3,4/4/2024,8:14:29
bin3,4/4/2024,11:51:53
bin3,4/4/2024,14:27:12
bin3,4/4/2024,17:43:35
bin3,4/5/2024,9:31:58
bin3,4/5/2024,13:42:22
bin3,4/5/2024,15:28:47
bin3,4/5/2024,18:03:11
bin3,4/6/2024,7:46:29
bin3,4/6/2024,11:57:32
bin3,4/6/2024,15:26:08
bin3,4/6/2024,17:58:14
bin3,4/7/2024,9:33:24
bin3,4/7/2024,12:45:16
bin3,4/7/2024,14:32:43
bin3,4/7/2024,17:30:51
bin3,4/8/2024,8:14:49
bin3,4/8/2024,11:52:22
bin3,4/8/2024,14:55:47
bin3,4/8/2024,17:49:13
bin3,4/9/2024,9:05:28
bin3,4/9/2024,13:26:42
bin3,4/9/2024,15:55:08
bin3,4/9/2024,18:20:33
bin3,4/10/2024,7:55:09
bin3,4/10/2024,12:57:19
bin3,4/10/2024,14:29:04
bin3,4/10/2024,17:38:56
bin3,4/11/2024,8:01:32
bin3,4/11/2024,12:48:55
bin3,4/11/2024,14:56:22
bin3,4/11/2024,17:59:39
